variable,name
compartment,是否有隔間
Note_Elevator,有電梯
Note_Additions,增建或未登記建物
Note_Overbuild,頂樓加蓋
Note_Balcony,陽台外推
Note_Layer,夾層
Note_Relationships,特殊關係交易
Main_Usage_Business,商業用途
Note_Gov,政府機關承購
Note_Furniture,傢俱
Note_BuildWithLandholder,建商與地主合建案
Note_BlankHouse,毛胚屋
Note_Defect,瑕疵or凶宅
Note_DeformedLand,畸零地
Note_Decoration,裝潢
Note_PublicUtilities,公共設施保留地
Note_PartRegister,分次登記案件
Note_Negotiate,協議價購
Note_Debt,債權債務
Note_Renewal,都更效益
Note_OverdueInherit,逾期未辦繼承
Note_DistressSale_,急售
