CMDLINE 2720
MEM 231.539062 1658386424.9288
MEM 231.542969 1658386425.0424
MEM 231.542969 1658386425.1510
MEM 231.542969 1658386425.2603
MEM 231.542969 1658386425.3697
MEM 231.542969 1658386425.4809
MEM 231.542969 1658386425.5909
MEM 231.542969 1658386425.6990
MEM 231.542969 1658386425.8085
MEM 231.542969 1658386425.9192
MEM 231.542969 1658386426.0297
MEM 231.542969 1658386426.1397
MEM 231.542969 1658386426.2497
MEM 231.542969 1658386426.3591
MEM 231.542969 1658386426.4700
MEM 231.542969 1658386426.5788
MEM 231.542969 1658386426.6894
MEM 231.542969 1658386426.7994
MEM 231.542969 1658386426.9094
MEM 231.542969 1658386427.0175
MEM 231.542969 1658386427.1258
MEM 231.542969 1658386427.2359
MEM 231.542969 1658386427.3449
MEM 231.542969 1658386427.4513
MEM 231.542969 1658386427.5593
MEM 231.542969 1658386427.6673
MEM 231.542969 1658386427.7782
MEM 231.542969 1658386427.8872
MEM 231.542969 1658386427.9979
MEM 231.542969 1658386428.1076
MEM 231.542969 1658386428.2156
MEM 231.542969 1658386428.3228
MEM 231.542969 1658386428.4328
MEM 231.542969 1658386428.5433
MEM 231.542969 1658386428.6519
MEM 231.542969 1658386428.7620
MEM 231.542969 1658386428.8709
MEM 231.542969 1658386428.9790
MEM 231.542969 1658386429.0868
MEM 231.542969 1658386429.1959
MEM 231.542969 1658386429.3061
MEM 231.542969 1658386429.4146
MEM 231.542969 1658386429.5237
MEM 231.542969 1658386429.6331
MEM 231.542969 1658386429.7439
MEM 231.542969 1658386429.8531
MEM 231.542969 1658386429.9629
MEM 231.542969 1658386430.0701
MEM 231.542969 1658386430.1794
MEM 231.542969 1658386430.2880
MEM 231.542969 1658386430.3979
MEM 231.542969 1658386430.5063
MEM 231.542969 1658386430.6159
MEM 231.542969 1658386430.7239
MEM 231.542969 1658386430.8329
MEM 231.542969 1658386430.9445
MEM 231.542969 1658386431.0543
MEM 231.542969 1658386431.1633
MEM 231.542969 1658386431.2727
MEM 231.542969 1658386431.3798
MEM 231.542969 1658386431.4902
MEM 231.542969 1658386431.5982
MEM 231.542969 1658386431.7090
MEM 231.542969 1658386431.8165
MEM 231.542969 1658386431.9259
MEM 232.378906 1658386432.0339
MEM 232.628906 1658386432.1439
MEM 232.644531 1658386432.2509
MEM 232.718750 1658386432.3579
MEM 232.675781 1658386432.4678
MEM 232.675781 1658386432.5768
MEM 232.675781 1658386432.6835
MEM 232.675781 1658386432.7921
MEM 232.675781 1658386432.9021
MEM 232.675781 1658386433.0113
MEM 232.675781 1658386433.1199
MEM 232.675781 1658386433.2289
MEM 232.675781 1658386433.3369
MEM 232.675781 1658386433.4459
MEM 232.675781 1658386433.5543
MEM 232.750000 1658386433.6625
MEM 239.453125 1658386433.7724
MEM 246.300781 1658386433.8804
MEM 251.921875 1658386433.9884
MEM 257.777344 1658386434.0974
MEM 360.816406 1658386434.2054
MEM 457.910156 1658386434.3174
MEM 538.308594 1658386434.4290
MEM 563.789062 1658386434.5390
MEM 376.496094 1658386434.6500
MEM 395.753906 1658386434.7630
MEM 413.546875 1658386434.8770
MEM 430.511719 1658386434.9840
MEM 448.335938 1658386435.0950
MEM 465.562500 1658386435.1990
MEM 478.503906 1658386435.3090
MEM 595.578125 1658386435.4190
MEM 483.707031 1658386435.5390
MEM 499.910156 1658386435.6420
MEM 517.628906 1658386435.7500
MEM 536.351562 1658386435.8640
MEM 553.046875 1658386435.9725
MEM 572.511719 1658386436.0930
MEM 683.207031 1658386436.1940
MEM 476.187500 1658386436.3060
MEM 476.187500 1658386436.4160
MEM 573.031250 1658386436.5280
MEM 386.632812 1658386436.6390
MEM 402.601562 1658386436.7480
MEM 415.218750 1658386436.8600
MEM 443.824219 1658386436.9700
MEM 465.464844 1658386437.0820
MEM 485.136719 1658386437.1920
MEM 508.949219 1658386437.3000
MEM 530.882812 1658386437.4100
MEM 551.308594 1658386437.5200
MEM 576.253906 1658386437.6320
MEM 595.667969 1658386437.7420
MEM 618.769531 1658386437.8500
MEM 637.695312 1658386437.9590
MEM 660.921875 1658386438.0700
MEM 682.253906 1658386438.1780
MEM 703.148438 1658386438.2882
MEM 727.320312 1658386438.4000
MEM 730.796875 1658386438.5100
MEM 937.054688 1658386438.6180
MEM 1336.000000 1658386438.7280
MEM 736.804688 1658386438.8360
MEM 742.160156 1658386438.9430
MEM 734.761719 1658386439.0520
MEM 739.191406 1658386439.1730
MEM 754.292969 1658386439.2840
MEM 769.738281 1658386439.3930
MEM 786.183594 1658386439.5190
MEM 802.824219 1658386439.6260
MEM 818.671875 1658386439.7270
MEM 845.089844 1658386439.8370
MEM 749.589844 1658386439.9490
MEM 831.828125 1658386440.0680
MEM 849.144531 1658386440.1830
MEM 869.175781 1658386440.2970
MEM 887.230469 1658386440.4090
MEM 905.152344 1658386440.5180
MEM 920.738281 1658386440.6270
MEM 1034.527344 1658386440.7390
MEM 846.460938 1658386440.8500
MEM 870.281250 1658386440.9600
MEM 932.980469 1658386441.0695
MEM 740.714844 1658386441.1800
MEM 745.632812 1658386441.2900
MEM 752.265625 1658386441.4020
MEM 753.687500 1658386441.5120
MEM 753.546875 1658386441.6220
MEM 753.703125 1658386441.7321
MEM 753.765625 1658386441.8411
MEM 753.828125 1658386441.9481
MEM 753.828125 1658386442.0581
MEM 753.968750 1658386442.1681
MEM 753.976562 1658386442.2801
MEM 753.976562 1658386442.3917
MEM 753.976562 1658386442.5010
MEM 753.976562 1658386442.6108
MEM 753.976562 1658386442.7201
MEM 753.976562 1658386442.8302
MEM 753.976562 1658386442.9409
MEM 753.976562 1658386443.0511
MEM 753.976562 1658386443.1609
MEM 753.976562 1658386443.2726
MEM 753.976562 1658386443.3817
MEM 753.976562 1658386443.4907
MEM 753.976562 1658386443.5989
MEM 753.976562 1658386443.7089
MEM 753.976562 1658386443.8189
MEM 753.976562 1658386443.9271
MEM 753.976562 1658386444.0356
MEM 753.976562 1658386444.1452
MEM 753.976562 1658386444.2549
MEM 753.976562 1658386444.3631
MEM 753.976562 1658386444.4714
MEM 753.976562 1658386444.5827
MEM 753.976562 1658386444.6937
MEM 753.976562 1658386444.8038
MEM 753.976562 1658386444.9125
MEM 753.976562 1658386445.0208
MEM 753.976562 1658386445.1299
MEM 753.976562 1658386445.2385
MEM 753.976562 1658386445.3466
MEM 753.976562 1658386445.4558
MEM 753.976562 1658386445.5678
MEM 753.976562 1658386445.6791
MEM 753.976562 1658386445.7868
MEM 753.976562 1658386445.8949
MEM 753.976562 1658386446.0029
MEM 753.976562 1658386446.1121
MEM 753.976562 1658386446.2220
MEM 753.976562 1658386446.3300
MEM 753.976562 1658386446.4414
MEM 753.976562 1658386446.5486
MEM 753.976562 1658386446.6599
MEM 753.976562 1658386446.7707
MEM 753.976562 1658386446.8791
MEM 753.976562 1658386446.9868
MEM 753.976562 1658386447.0990
MEM 753.976562 1658386447.2071
