CMDLINE 26648
MEM 727.824219 1658384032.5351
MEM 727.824219 1658384032.6415
MEM 727.824219 1658384032.7503
MEM 727.824219 1658384032.8614
MEM 727.824219 1658384032.9724
MEM 727.824219 1658384033.0844
MEM 727.824219 1658384033.1939
MEM 727.824219 1658384033.3024
MEM 727.824219 1658384033.4120
MEM 727.824219 1658384033.5236
MEM 727.824219 1658384033.6356
MEM 727.824219 1658384033.7471
MEM 727.824219 1658384033.8589
MEM 727.824219 1658384033.9709
MEM 727.824219 1658384034.0813
MEM 727.824219 1658384034.1905
MEM 727.824219 1658384034.2967
MEM 727.824219 1658384034.4070
MEM 727.824219 1658384034.5147
MEM 727.824219 1658384034.6235
MEM 727.824219 1658384034.7312
MEM 727.824219 1658384034.8408
MEM 727.824219 1658384034.9485
MEM 727.824219 1658384035.0560
MEM 727.824219 1658384035.1651
MEM 727.824219 1658384035.2737
MEM 727.824219 1658384035.3828
MEM 727.824219 1658384035.4910
MEM 727.824219 1658384035.6000
MEM 727.824219 1658384035.7083
MEM 727.824219 1658384035.8176
MEM 727.824219 1658384035.9250
MEM 727.824219 1658384036.0336
MEM 727.824219 1658384036.1433
MEM 727.824219 1658384036.2513
MEM 727.824219 1658384036.3604
MEM 727.824219 1658384036.4707
MEM 727.824219 1658384036.5787
MEM 727.824219 1658384036.6907
MEM 727.824219 1658384036.8020
MEM 727.824219 1658384036.9116
MEM 727.824219 1658384037.0195
MEM 727.824219 1658384037.1282
MEM 727.824219 1658384037.2374
MEM 727.824219 1658384037.3476
MEM 727.824219 1658384037.4581
MEM 727.824219 1658384037.5667
MEM 727.824219 1658384037.6773
MEM 727.824219 1658384037.7840
MEM 727.824219 1658384037.8927
MEM 727.824219 1658384037.9987
MEM 727.824219 1658384038.1067
MEM 727.824219 1658384038.2154
MEM 727.824219 1658384038.3237
MEM 727.824219 1658384038.4351
MEM 727.824219 1658384038.5450
MEM 727.824219 1658384038.6539
MEM 727.824219 1658384038.7615
MEM 727.824219 1658384038.8715
MEM 727.824219 1658384038.9808
MEM 727.824219 1658384039.0902
MEM 727.824219 1658384039.1982
MEM 727.824219 1658384039.3082
MEM 727.824219 1658384039.4169
MEM 727.824219 1658384039.5279
MEM 727.824219 1658384039.6382
MEM 727.824219 1658384039.7457
MEM 727.824219 1658384039.8542
MEM 727.824219 1658384039.9652
MEM 727.824219 1658384040.0754
MEM 727.824219 1658384040.1839
MEM 727.824219 1658384040.2917
MEM 727.824219 1658384040.4006
MEM 727.824219 1658384040.5112
MEM 727.824219 1658384040.6201
MEM 727.824219 1658384040.7297
MEM 727.824219 1658384040.8393
MEM 727.824219 1658384040.9481
MEM 727.824219 1658384041.0580
